method,seed,time,phase_TV,phase_balance_l2,coverage,entropy,effective_phase_count,mean_q1,mean_q2,mean_order_norm,radial_order_error,second_moment_error,mean_energy,energy_harmonic_reference_error,energy_std,mass_0,mass_1,mass_2,mass_3,nearest_minimum_diagnostic_mass_0,nearest_minimum_diagnostic_mass_1,nearest_minimum_diagnostic_mass_2,nearest_minimum_diagnostic_mass_3,nearest_minimum_diagnostic_TV,magnetization_norm_mean,binder_cumulant,susceptibility,mean_total_energy_density,mean_gradient_energy_density,mean_local_energy_density,vector_correlation_0,vector_correlation_1,structure_factor_0,structure_factor_1,domain_wall_density_mean,coherent_field_fraction,noncoherent_field_probability,coherent_phase_TV,coherence_magnetization_threshold,coherence_domain_wall_threshold,coherent_phase_mass_0,coherent_phase_mass_1,coherent_phase_mass_2,coherent_phase_mass_3,clip_fraction_mean,clip_fraction_max,safety_clip_fraction,jump_count,mean_jump_count,undirected_edges,directed_atoms,graph_family,jump_type,n_atoms,n_theta,n_rho,rho_n,jump_cost_proxy,score_cost_proxy,total_cost_proxy,cost_proxy,h_shell,max_jump_count,mean_energy_after_jump,mean_energy_before_jump,total_jump_count,effective_log_clip,score_effective_log_clip,score_h_shell,logratio_clip_fraction,score_logratio_clip_fraction,max_log_ratio,score_max_log_ratio,max_score_norm,score_max_score_norm,moment_score,score_moment_score,score_n_rho,score_n_theta,overflow_guard_logratio_clip_fraction,score_overflow_guard_logratio_clip_fraction,score_rho_n,score_changing_logratio_clip_fraction,score_score_changing_logratio_clip_fraction,score_clip_fraction,score_score_clip_fraction
Langevin,20260123,0.0,0.932014687997399,1.1341157041619936,1,2.072326583694641e-297,1.0,-1.1866054837102482,-1.0735649953305386,1.6001794815489572,0.16753785387547646,0.4363219895350675,18.37619290464606,15.176192904646062,3.8891954259576327,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.932014687997399,1.6002129589480065,0.4999161871521488,0.03438290947372025,0.5742560282701894,0.5738384672140835,0.00041756105610583205,2.5677423302036844,2.560569349363508,81.94524673847174,0.007035087531398031,0.0,1.0,0.0,0.932014687997399,1.0028725735507709,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,none,none,0,0,0,0,1170000,0,1170000,1170000,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Langevin,20260123,0.04,0.932014687997399,1.1341157041619936,1,2.072326583694641e-297,1.0,-1.1861484908261992,-1.073439558053445,1.5997564586783959,0.16719494007640032,0.4354948028659779,3.6181343471512903,0.41813434715129016,0.6618240898967221,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.932014687997399,1.59987004514893,0.4997393151677141,0.10685491777380207,0.11306669834847782,0.11276464008850554,0.0003020582599723058,2.563763363045596,2.56235380504449,81.91737865545214,0.01972078741661811,0.0,1.0,0.0,0.932014687997399,1.0028725735507709,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,none,none,0,0,0,0,1170000,0,1170000,1170000,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Langevin,20260123,0.08,0.932014687997399,1.1341157041619936,1,2.072326583694641e-297,1.0,-1.1861881530868035,-1.0727745093796766,1.5993397020327773,0.1668483712171812,0.43568946493799554,3.669724207260899,0.4697242072608989,0.7028122504425759,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.932014687997399,1.599523476289711,0.4995489512805933,0.18449600473473993,0.1146788814769031,0.11432830473989523,0.0003505767370078633,2.5635401845576387,2.56211108074839,81.88966083893489,0.02878190933546645,0.0,1.0,0.0,0.932014687997399,1.0028725735507709,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,none,none,0,0,0,0,1170000,0,1170000,1170000,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Langevin,20260123,0.12,0.932014687997399,1.1341157041619936,1,2.072326583694641e-297,1.0,-1.1863723332492098,-1.0734420771936248,1.5999241251349814,0.16751013024366285,0.4365204619183491,3.6952429744514395,0.4952429744514393,0.6978480857114985,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.932014687997399,1.6001852353161927,0.49936897958631843,0.25874720698752185,0.11547634295160748,0.11507679604911818,0.0003995469024892989,2.566537393784353,2.5650989338337387,81.96484391506488,0.037591354098579645,0.0,1.0,0.0,0.932014687997399,1.0028725735507709,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,none,none,0,0,0,0,1170000,0,1170000,1170000,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Langevin,20260123,0.16,0.932014687997399,1.1341157041619936,1,2.072326583694641e-297,1.0,-1.1870988719646787,-1.0731659321992735,1.6002777414726939,0.16793453093278174,0.4384146059129858,3.7343083504631824,0.5343083504631823,0.6804166297185511,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.932014687997399,1.6006096360053117,0.49918893833028377,0.3329169713704516,0.11669713595197445,0.11626223427017986,0.000434901681794591,2.5684353608308594,2.5669820829024825,82.01573031707476,0.04263961105692996,0.0,1.0,0.0,0.932014687997399,1.0028725735507709,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,none,none,0,0,0,0,1170000,0,1170000,1170000,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Langevin,20260123,0.2,0.932014687997399,1.1341157041619936,1,2.072326583694641e-297,1.0,-1.1866046877782437,-1.072211374633588,1.5992710579982832,0.166979063665102,0.4372744389460443,3.735089253502757,0.5350892535027567,0.6950810233196587,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.932014687997399,1.5996541687376322,0.4990045561609382,0.4083674563426598,0.11672153917196115,0.1162574445141343,0.0004640946578268642,2.565924978088439,2.564471760032012,81.92542745154425,0.046780442047987356,0.0,1.0,0.0,0.932014687997399,1.0028725735507709,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,none,none,0,0,0,0,1170000,0,1170000,1170000,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Langevin,20260123,0.24,0.932014687997399,1.1341157041619936,1,2.072326583694641e-297,1.0,-1.1861464784977023,-1.0712876650387693,1.5983118374449692,0.16609013176875204,0.436205304198236,3.7869143868094235,0.5869143868094233,0.6906801566933831,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.932014687997399,1.598765236841282,0.49885645139037926,0.46900450105482605,0.11834107458779448,0.117846094491704,0.0004949800960904975,2.563571551926993,2.5620984757458465,81.8405094911346,0.051426791789290396,0.0,1.0,0.0,0.932014687997399,1.0028725735507709,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,none,none,0,0,0,0,1170000,0,1170000,1170000,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Langevin,20260123,0.28,0.932014687997399,1.1341157041619936,1,2.072326583694641e-297,1.0,-1.1857087811820672,-1.0706655366418176,1.5975700313678811,0.165420270671271,0.43527894097516956,3.782780146589152,0.582780146589152,0.6785625333435644,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.932014687997399,1.598095375743801,0.4986484020541966,0.5535586219220079,0.118211879580911,0.11768877809476769,0.0005231014861433085,2.561895449453418,2.560424339727233,81.78043842135139,0.05471147340423931,0.0,1.0,0.0,0.932014687997399,1.0028725735507709,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,none,none,0,0,0,0,1170000,0,1170000,1170000,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Langevin,20260123,0.32,0.932014687997399,1.1341157041619936,1,2.072326583694641e-297,1.0,-1.1858571103479467,-1.0700199590200417,1.59724756968481,0.16516277388215325,0.43566530574734114,3.770787422157565,0.5707874221575646,0.6999439159240993,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.932014687997399,1.5978378789546832,0.4984836672097752,0.6196698184760407,0.1178371069424239,0.11729040087641904,0.0005467060660048733,2.5614142273438802,2.5599480973329247,81.7607153793644,0.05699371239954374,0.0,1.0,0.0,0.932014687997399,1.0028725735507709,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,none,none,0,0,0,0,1170000,0,1170000,1170000,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Langevin,20260123,0.36,0.932014687997399,1.1341157041619936,1,2.072326583694641e-297,1.0,-1.1855724896819821,-1.0698442970377937,1.596918579075034,0.1648965293817687,0.43522390663883215,3.753091827869613,0.5530918278696126,0.652205727195826,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.932014687997399,1.5975716344542987,0.49830850348740496,0.6908354316810517,0.1172841196209254,0.11671415401478834,0.0005699656061370635,2.5608695986325034,2.559410671707319,81.74060761398346,0.05919102070733526,0.0,1.0,0.0,0.932014687997399,1.0028725735507709,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,none,none,0,0,0,0,1170000,0,1170000,1170000,0.0,,,,,,,,,,,,,,,,,,,,,,,,
